student_id,session_id,hint_condition,db_experience,hint_latency,revision_count,trust_score,adopted,task_success
ST_055,S_043,conceptual,0,20.20320525196719,1,5,1,1
ST_064,S_044,actionable,1,38.92361901412342,2,3,1,1
ST_003,S_045,conceptual,0,79.32562574737227,5,1,0,1
ST_051,S_046,actionable,0,119.44761661498671,1,3,1,0
ST_007,S_047,conceptual,1,6.363275172593439,1,4,0,0
ST_021,S_048,actionable,0,104.46651052168315,4,2,1,1
ST_073,S_049,conceptual,1,27.100111239821224,4,4,1,0
ST_039,S_050,actionable,0,11.94941817405583,4,4,1,0
ST_018,S_051,actionable,0,24.5834786948279,4,3,1,0
ST_004,S_052,actionable,1,156.54612390322367,3,5,1,1
ST_089,S_053,conceptual,1,27.13965170669439,2,2,1,1
ST_060,S_054,conceptual,1,15.94464128401999,2,2,1,0
ST_014,S_055,actionable,1,40.139450958306384,1,5,1,1
ST_009,S_056,conceptual,1,10.985138708624119,6,4,1,1
ST_090,S_057,conceptual,0,5.0,3,5,1,1
ST_053,S_058,conceptual,0,5.519008788496635,2,4,1,1
ST_002,S_059,conceptual,1,5.480736962680285,3,3,0,0
ST_084,S_060,actionable,1,6.590396062266919,7,5,1,0
ST_092,S_061,actionable,1,5.978402642700662,1,5,1,1
ST_060,S_062,conceptual,0,40.96336204303226,3,5,1,0
ST_071,S_063,conceptual,0,8.029854281379265,3,3,1,1
ST_044,S_064,conceptual,1,16.96557263179221,3,4,1,1
ST_008,S_065,actionable,0,90.83896500513431,1,4,1,1
ST_047,S_066,actionable,1,25.695245665863744,6,2,1,0
ST_035,S_067,conceptual,1,44.05156334609522,7,5,0,0
ST_078,S_068,conceptual,0,7.565140684528659,3,2,1,1
ST_081,S_069,conceptual,1,8.542039239803803,4,5,1,1
ST_036,S_070,conceptual,1,5.0,6,4,1,0
ST_050,S_071,conceptual,0,7.401893762623235,4,3,0,1
ST_004,S_072,actionable,1,13.061924745245822,1,4,1,0
ST_002,S_073,actionable,0,7.792472699324318,3,5,0,0
ST_006,S_074,conceptual,1,5.0,3,5,1,0
ST_054,S_075,conceptual,0,5.142248539734101,2,5,0,0
ST_004,S_076,actionable,1,24.705173734615165,4,4,1,1
ST_054,S_077,actionable,0,9.243688253803864,7,5,1,0
ST_093,S_078,conceptual,0,18.119244620436742,6,5,0,1
ST_063,S_079,actionable,1,28.000207388573216,3,3,0,1
ST_018,S_080,actionable,0,46.89829736050169,1,4,1,0
ST_090,S_081,conceptual,0,5.0,8,3,1,1
ST_044,S_082,conceptual,1,64.25976975304478,5,5,1,0
ST_034,S_083,conceptual,1,39.54374761469185,1,5,0,0
ST_074,S_084,actionable,0,5.0,6,1,1,0
ST_062,S_085,conceptual,1,82.72538793952363,6,5,0,0
ST_100,S_086,actionable,0,101.46774185515712,3,5,1,1
ST_014,S_087,actionable,0,5.0,3,3,1,1
ST_095,S_088,conceptual,0,12.967073725146033,2,4,1,0
ST_048,S_089,conceptual,1,65.6374073290657,1,5,1,1
ST_015,S_090,conceptual,1,55.17428960857234,2,1,1,0
ST_072,S_091,conceptual,1,8.15918528247202,5,5,1,0
ST_078,S_092,conceptual,1,9.39596124726133,1,3,1,0
ST_087,S_093,actionable,0,18.51140440097479,2,5,1,0
ST_062,S_094,actionable,0,26.506502586744574,2,5,1,1
ST_040,S_095,actionable,0,38.52007336234208,3,5,1,1
ST_085,S_096,actionable,0,18.412502520014048,6,4,1,1
ST_080,S_097,conceptual,0,24.835644368836704,2,5,1,1
ST_082,S_098,actionable,1,55.0491576155937,2,5,1,1
ST_053,S_099,conceptual,0,5.0,4,3,1,0
ST_024,S_100,conceptual,0,11.637464875295889,3,5,1,1
ST_026,S_101,conceptual,0,49.97967499824103,1,1,1,1
ST_089,S_102,conceptual,1,90.23067017322454,3,4,1,1
ST_060,S_103,conceptual,1,28.671164488336032,1,3,1,1
ST_041,S_104,actionable,0,30.381180094122758,1,2,0,0
ST_029,S_105,actionable,0,5.0,3,2,1,0
ST_015,S_106,conceptual,1,23.725729843342034,2,5,1,1
ST_045,S_107,actionable,0,30.4242719622116,6,3,1,1
ST_065,S_108,actionable,1,11.107712130426133,2,5,1,1
ST_089,S_109,conceptual,1,12.546984475141754,3,2,1,1
ST_071,S_110,actionable,0,18.94659939209888,4,3,1,0
ST_009,S_111,conceptual,0,5.0,1,4,1,1
ST_088,S_112,conceptual,1,15.54899045024543,4,5,1,0
ST_001,S_113,conceptual,0,9.502277424945195,1,3,1,1
ST_008,S_114,actionable,0,15.869969209279306,7,4,1,0
ST_088,S_115,actionable,1,5.102524131391251,1,5,1,1
ST_063,S_116,conceptual,1,88.48319599772098,2,4,0,0
ST_011,S_117,actionable,1,36.015952555182395,1,3,1,1
ST_081,S_118,conceptual,1,45.46531831572126,8,1,1,0
ST_008,S_119,conceptual,0,62.268361295111646,3,5,1,1
ST_035,S_120,conceptual,0,27.601456873955406,3,1,0,0
ST_035,S_121,actionable,1,5.0,1,5,1,1
ST_033,S_122,actionable,0,30.810334531792904,4,4,1,1
ST_005,S_123,conceptual,0,35.35692231485494,1,5,1,1
ST_041,S_124,actionable,1,54.72866595233637,6,5,1,0
ST_028,S_125,actionable,0,22.601385975319282,1,5,1,0
ST_007,S_126,conceptual,0,5.459386669172489,1,4,0,0
ST_073,S_127,conceptual,0,13.350487210468156,1,5,1,1
ST_072,S_128,conceptual,0,18.044593018984937,3,4,0,0
ST_012,S_129,conceptual,0,41.52898446487447,3,4,1,1
ST_034,S_130,actionable,0,33.83126884805678,1,4,1,1
ST_033,S_131,conceptual,0,17.608270386072245,5,5,1,0
ST_048,S_132,conceptual,1,172.24783088679249,3,5,1,1
ST_023,S_133,actionable,1,37.23332033868837,3,5,1,1
ST_062,S_134,conceptual,0,10.831781150271997,2,4,1,0
ST_088,S_135,conceptual,1,5.0,2,4,1,0
ST_037,S_136,conceptual,0,6.635531703593035,3,5,0,0
ST_099,S_137,conceptual,0,11.292273975805639,1,3,1,1
ST_044,S_138,conceptual,1,7.006594998171761,1,2,1,1
ST_086,S_139,actionable,0,8.259669818183216,6,4,1,0
ST_091,S_140,actionable,1,13.424233928617861,7,3,1,0
ST_035,S_141,conceptual,0,7.61609734651548,2,3,1,1
ST_065,S_142,conceptual,1,90.83005797423661,2,3,1,0
ST_099,S_143,conceptual,0,5.0,4,1,1,0
ST_047,S_144,conceptual,1,29.736494004508106,2,1,1,1
ST_078,S_145,conceptual,0,21.132222259572092,1,5,1,1
ST_003,S_146,conceptual,1,161.5456866406368,1,4,1,1
ST_001,S_147,conceptual,0,5.0,4,4,0,1
ST_005,S_148,conceptual,0,20.29031974969722,4,4,1,1
ST_090,S_149,conceptual,1,139.5623865650686,1,3,1,1
ST_014,S_150,conceptual,0,80.24976247872618,1,5,1,1
ST_027,S_151,conceptual,1,67.94652136144718,2,5,0,0
ST_009,S_152,actionable,1,11.931003341340185,4,2,1,0
ST_079,S_153,actionable,0,7.495981311459502,1,4,1,1
ST_015,S_154,actionable,1,44.18238394727134,1,5,1,1
ST_090,S_155,conceptual,0,106.01540379839821,5,5,1,1
ST_042,S_156,actionable,1,32.54601687618969,1,4,1,1
ST_077,S_157,actionable,0,33.90910245834346,4,4,0,0
ST_051,S_158,conceptual,0,13.139001232426033,2,3,1,1
ST_063,S_159,actionable,1,58.69895033648354,1,5,1,1
ST_096,S_160,conceptual,1,8.283119285842833,2,3,1,1
ST_052,S_161,actionable,0,15.643512524769305,4,5,1,1
ST_096,S_162,actionable,1,22.16578200279322,5,4,1,1
ST_004,S_163,conceptual,0,28.33939850578794,5,4,1,1
ST_094,S_164,actionable,0,11.104503342784234,2,4,1,1
ST_023,S_165,actionable,0,5.0,4,3,1,0
ST_015,S_166,conceptual,0,37.72798629717426,1,3,0,0
ST_043,S_167,conceptual,0,13.62253473746167,2,3,1,1
ST_029,S_168,actionable,0,34.81812273169774,6,3,1,1
ST_036,S_169,conceptual,1,6.706590110827192,1,5,1,1
ST_013,S_170,actionable,1,26.2448551211411,1,4,1,1
ST_032,S_171,actionable,1,30.421889925163114,1,2,1,1
ST_071,S_172,conceptual,0,5.0,1,5,1,1
ST_059,S_173,conceptual,0,16.41534405521693,1,5,1,1
ST_086,S_174,conceptual,1,5.773973073277264,3,5,1,1
ST_028,S_175,conceptual,1,5.0,2,5,1,1
ST_066,S_176,conceptual,0,184.04805245581298,6,3,1,0
ST_042,S_177,conceptual,1,15.56520090077681,5,4,1,0
ST_045,S_178,actionable,1,66.40282455079594,2,5,1,1
ST_062,S_179,conceptual,1,11.755553371736056,2,5,1,0
ST_057,S_180,actionable,1,45.76565404081406,2,3,1,0
ST_006,S_181,actionable,1,57.122648913128344,3,5,1,1
ST_028,S_182,actionable,0,36.21786376676559,2,3,1,1
ST_028,S_183,actionable,1,25.51426576181087,3,3,1,1
ST_044,S_184,conceptual,1,21.23031254021511,2,4,1,1
ST_084,S_185,conceptual,0,17.161732068158994,3,4,1,1
ST_030,S_186,conceptual,0,106.10224192883123,2,4,1,0
ST_062,S_187,actionable,0,71.02428284567192,2,2,1,1
ST_075,S_188,actionable,1,134.12705557662767,7,5,0,1
ST_092,S_189,actionable,1,5.309141673444222,5,3,1,0
ST_089,S_190,actionable,0,52.502054538420296,1,2,1,1
ST_062,S_191,conceptual,0,111.44509061044963,6,5,1,0
ST_097,S_192,conceptual,0,7.998232388031907,3,5,0,1
ST_001,S_193,conceptual,1,5.0,6,5,0,0
ST_027,S_194,actionable,1,54.05572612754489,5,5,1,0
ST_062,S_195,conceptual,1,34.17708576794679,2,4,1,1
ST_077,S_196,conceptual,0,73.76308565285912,1,4,0,0
ST_003,S_197,conceptual,0,6.022329856567704,2,2,0,0
ST_070,S_198,conceptual,0,63.442004441274726,3,4,0,1
ST_072,S_199,actionable,0,9.007190922680918,4,4,1,0
ST_027,S_200,actionable,1,7.14860795862072,2,3,1,1
